ppx_accession	ppx_accession_version	organism	insdc_accessions	segment_divisions	ncbi_titles
PP_000NGSN	PP_000NGSN.3	ebola-zaire	LX074020	-:PAT	JP 2017048207-A/3: Adenovirus Serotype 26 and Serotype 35 Filovirus Vaccines
PP_000NGTL	PP_000NGTL.3	ebola-zaire	LY296935	-:PAT	KR 1020160097193-A/12: Multiplex Probes
PP_000NGVG	PP_000NGVG.3	ebola-zaire	LY530138	-:PAT	KR 1020170102328-A/313: HUMAN ANTIBODIES TO EBOLA VIRUS GLYCOPROTEIN
PP_000NGWE	PP_000NGWE.3	ebola-zaire	LY532951	-:PAT	KR 1020170122750-A/3: EQUINE IMMUNOGLOBULIN COMPOSITIONS AND USES FOR TREATING FILOVIRUS-MEDIATED DISEASES
PP_000NGXC	PP_000NGXC.3	ebola-zaire	LY532954	-:PAT	KR 1020170122750-A/9: EQUINE IMMUNOGLOBULIN COMPOSITIONS AND USES FOR TREATING FILOVIRUS-MEDIATED DISEASES
PP_000NGZ8	PP_000NGZ8.3	ebola-zaire	MA016813	-:PAT	
PP_000NH4Y	PP_000NH4Y.3	ebola-zaire	MA346170	-:PAT	
PP_000NH5W	PP_000NH5W.3	ebola-zaire	MB015291	-:PAT	
PP_000NH6U	PP_000NH6U.3	ebola-zaire	MB015294	-:PAT	
PP_000NSF1	PP_000NSF1.3	ebola-zaire	MS908772	-:PAT	Sequence 3 from Patent WO2017060662
PP_000NSNL	PP_000NSNL.3	ebola-zaire	MS908774	-:PAT	Sequence 5 from Patent WO2017060662
PP_000NSU8	PP_000NSU8.3	ebola-zaire	MS908776	-:PAT	Sequence 7 from Patent WO2017060662
PP_000NTW3	PP_000NTW3.3	ebola-zaire	MS908778	-:PAT	Sequence 9 from Patent WO2017060662
PP_000NU1T	PP_000NU1T.3	ebola-zaire	MS908780	-:PAT	Sequence 11 from Patent WO2017060662
PP_000NU6H	PP_000NU6H.3	ebola-zaire	MS908782	-:PAT	Sequence 13 from Patent WO2017060662
PP_000NUC5	PP_000NUC5.3	ebola-zaire	MP155303	-:PAT	Sequence 10 from Patent EP3466440
PP_000NUD3	PP_000NUD3.3	ebola-zaire	MP155306	-:PAT	Sequence 13 from Patent EP3466440
PP_000NUE1	PP_000NUE1.3	ebola-zaire	MS811579	-:PAT	Sequence 1 from Patent WO2016189490
PP_0015G5X	PP_0015G5X.1	ebola-zaire	PG341009	-:PAT	JP 2023515355-A/101: RAPID VACCINE PLATFORM
PP_0015G6V	PP_0015G6V.1	ebola-zaire	PG341010	-:PAT	JP 2023515355-A/102: RAPID VACCINE PLATFORM
PP_0015G7T	PP_0015G7T.1	ebola-zaire	PG341011	-:PAT	JP 2023515355-A/103: RAPID VACCINE PLATFORM
PP_0015G8R	PP_0015G8R.1	ebola-zaire	PG341012	-:PAT	JP 2023515355-A/104: RAPID VACCINE PLATFORM
PP_0015G9P	PP_0015G9P.1	ebola-zaire	PG341013	-:PAT	JP 2023515355-A/105: RAPID VACCINE PLATFORM
PP_0015GAM	PP_0015GAM.1	ebola-zaire	PG341014	-:PAT	JP 2023515355-A/106: RAPID VACCINE PLATFORM
PP_0015GBK	PP_0015GBK.1	ebola-zaire	PG341015	-:PAT	JP 2023515355-A/107: RAPID VACCINE PLATFORM
PP_0015GCH	PP_0015GCH.1	ebola-zaire	PG341016	-:PAT	JP 2023515355-A/108: RAPID VACCINE PLATFORM
PP_0015GDF	PP_0015GDF.1	ebola-zaire	PG341017	-:PAT	JP 2023515355-A/109: RAPID VACCINE PLATFORM
PP_004CAB8	PP_004CAB8.1	ebola-zaire	PB147723	-:PAT	JP 2019520841-A/60: VIRAL VECTORS FOR TREATING PARKINSON'S DISEASE
PP_004CAF0	PP_004CAF0.1	ebola-zaire	PF321277	-:PAT	KR 1020230134487-A/47: RNA CONSTRUCT
PP_004CAGY	PP_004CAGY.1	ebola-zaire	PF321278	-:PAT	KR 1020230134487-A/48: RNA CONSTRUCT
PP_004CAHV	PP_004CAHV.1	ebola-zaire	PH487565	-:PAT	JP 2024501085-A/37: RNA construct
PP_004CAJT	PP_004CAJT.1	ebola-zaire	PH487566	-:PAT	JP 2024501085-A/38: RNA construct
PP_004CAKR	PP_004CAKR.1	ebola-zaire	PI212816	-:PAT	JP 2024508088-A/11: ONCOLYTIC VIRUS FOR SYSTEMIC DELIVERY AND ENHANCED ANTI-TUMOR ACTIVITIES
PP_004CALP	PP_004CALP.1	ebola-zaire	PU796681	-:PAT	Sequence 313 from patent US 12152067 B2
PP_004JYFZ	PP_004JYFZ.1	ebola-zaire	PY046800	-:PAT	Sequence 5 from patent US 12370249 B2
PP_004JYGX	PP_004JYGX.1	ebola-zaire	PY046801	-:PAT	Sequence 6 from patent US 12370249 B2
PP_004JYHU	PP_004JYHU.1	ebola-zaire	PY046802	-:PAT	Sequence 7 from patent US 12370249 B2
PP_004JYJS	PP_004JYJS.1	ebola-zaire	PY046803	-:PAT	Sequence 8 from patent US 12370249 B2
PP_004JYKQ	PP_004JYKQ.1	ebola-zaire	PY046804	-:PAT	Sequence 9 from patent US 12370249 B2
PP_004JYLN	PP_004JYLN.1	ebola-zaire	PY046789	-:PAT	Sequence 1 from patent US 12370249 B2
PP_004JYML	PP_004JYML.1	ebola-zaire	PY046790	-:PAT	Sequence 10 from patent US 12370249 B2
PP_004JYNJ	PP_004JYNJ.1	ebola-zaire	PY046791	-:PAT	Sequence 11 from patent US 12370249 B2
PP_004JYRC	PP_004JYRC.1	ebola-zaire	PY046798	-:PAT	Sequence 2 from patent US 12370249 B2
PP_004JYSA	PP_004JYSA.1	ebola-zaire	PY046799	-:PAT	Sequence 4 from patent US 12370249 B2
PP_00716N8	PP_00716N8.1	ebola-zaire	QP746467	-:PAT	JP 2025525390-A/1885: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA
PP_0071M5U	PP_0071M5U.1	ebola-zaire	QS046366	-:PAT	JP 2025065427-A/313: Human Antibodies to Ebola Virus Glycoprotein
