run_accession	accession	accessionVersion	authors	authorAffiliations	submitter	groupName	geoLocCountry	geoLocAdmin1	sampleCollectionDate	releasedDate	ncbiVirusName	sequencingInstrument	sequencingAssayType	sequencingProtocol	sequencedByOrganization	bioprojectAccession	biosampleAccession	library_source	library_strategy	library_selection	instrument_platform	instrument_model	read_count	base_count	first_public	insdcRawReadsAccession_raw
SRR10017689	PP_000T6DF	PP_000T6DF.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T6ED	PP_000T6ED.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T6FB	PP_000T6FB.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T6G9	PP_000T6G9.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T6L0	PP_000T6L0.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T6MY	PP_000T6MY.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T6NW	PP_000T6NW.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T6PU	PP_000T6PU.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T6QS	PP_000T6QS.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T6SN	PP_000T6SN.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T6TL	PP_000T6TL.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T6VG	PP_000T6VG.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T6WE	PP_000T6WE.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T6XC	PP_000T6XC.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T6YA	PP_000T6YA.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T714	PP_000T714.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T722	PP_000T722.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T730	PP_000T730.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T74Y	PP_000T74Y.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T75W	PP_000T75W.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T76U	PP_000T76U.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T78Q	PP_000T78Q.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T79N	PP_000T79N.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T7BJ	PP_000T7BJ.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T7CG	PP_000T7CG.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T7DE	PP_000T7DE.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T7EC	PP_000T7EC.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T7FA	PP_000T7FA.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T7G8	PP_000T7G8.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T7H5	PP_000T7H5.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
SRR10017689	PP_000T7J3	PP_000T7J3.2	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	USA	MD		2025-02-03	Monkeypox virus					PRJNA231221	SAMN11078000	VIRAL RNA	WGS	cDNA	ILLUMINA	Illumina MiSeq	417447	251303094	2019-08-27	SRR10017689
